Codice Prodotto;Descrizione Prodotto Breve Italiana;Codice Categoria;Um;Peso;Disponibilita' maggiore di 0;Obsoleto;Novita';In Offerta;Tipo Offerta;Listino Base;Netto Cliente;Unita' Misura Street Price;Street Price Ivato;Nome Immagine;Link Caratteristiche;Ultimo Aggiornamento
3142112200;LIROS HERKULES COLOUR 12MM RED 200M ;17016;CF;21,00;Si;No;No;No;Nessuna;866,00;433,00;MT;5,20;3142104250;http://www.motomarine.it/catalogo/xsia/3142112200;2021-02-12
3142212200;LIROS HERKULES COLOUR 12MM YELLOW 200M ;17016;CF;21,00;Si;No;No;No;Nessuna;866,00;433,00;MT;5,20;3142104250;http://www.motomarine.it/catalogo/xsia/3142212200;2021-02-12
3142312200;LIROS HERKULES COLOUR 12MM BLU NAVY 200M ;17016;CF;21,00;No;No;No;No;Nessuna;866,00;433,00;MT;5,20;3142104250;http://www.motomarine.it/catalogo/xsia/3142312200;2021-02-12
3142114150;LIROS HERKULES COLOUR 14MM RED 150M ;17016;CF;21,90;No;No;No;No;Nessuna;810,00;405,00;MT;6,40;3142104250;http://www.motomarine.it/catalogo/xsia/3142114150;2021-02-12
3142214150;LIROS HERKULES COLOUR 14MM YELLOW 150M ;17016;CF;21,90;No;No;No;No;Nessuna;810,00;405,00;MT;6,40;3142104250;http://www.motomarine.it/catalogo/xsia/3142214150;2021-02-12
3142314150;LIROS HERKULES COLOUR 14MM BLU NAVY 150M ;17016;CF;21,90;No;No;No;No;Nessuna;810,00;405,00;MT;6,40;3142104250;http://www.motomarine.it/catalogo/xsia/3142314150;2021-02-12
3145003100;LIROS MAGIC PRO 3MM RED 100M ;17019;CF;0,60;No;No;No;No;Nessuna;76,50;38,25;MT;1,00;3145003100;http://www.motomarine.it/catalogo/xsia/3145003100;2021-02-12
3145103100;LIROS MAGIC PRO 3MM BLUE 100M ;17019;CF;0,60;No;No;No;No;Nessuna;76,50;38,25;MT;1,00;3145003100;http://www.motomarine.it/catalogo/xsia/3145103100;2021-02-12
3145203100;LIROS MAGIC PRO 3MM BLACK 100M ;17019;CF;0,60;No;No;No;No;Nessuna;76,50;38,25;MT;1,00;3145003100;http://www.motomarine.it/catalogo/xsia/3145203100;2021-02-12
3145004100;LIROS MAGIC PRO 4MM RED 100M ;17019;CF;1,00;No;No;No;No;Nessuna;119,00;59,50;MT;1,50;3145003100;http://www.motomarine.it/catalogo/xsia/3145004100;2021-02-12
3145104100;LIROS MAGIC PRO 4MM BLUE 100M ;17019;CF;1,00;No;No;No;No;Nessuna;119,00;59,50;MT;1,50;3145003100;http://www.motomarine.it/catalogo/xsia/3145104100;2021-02-12
3145204100;LIROS MAGIC PRO 4MM BLACK 100M ;17019;CF;1,00;No;No;No;No;Nessuna;119,00;59,50;MT;1,50;3145003100;http://www.motomarine.it/catalogo/xsia/3145204100;2021-02-12
3145005100;LIROS MAGIC PRO 5MM RED 100M ;17019;CF;1,60;No;No;No;No;Nessuna;179,00;89,50;MT;2,20;3145003100;http://www.motomarine.it/catalogo/xsia/3145005100;2021-02-12
3145105100;LIROS MAGIC PRO 5MM BLUE 100M ;17019;CF;1,60;No;No;No;No;Nessuna;179,00;89,50;MT;2,20;3145003100;http://www.motomarine.it/catalogo/xsia/3145105100;2021-02-12
3145205100;LIROS MAGIC PRO 5MM BLACK 100M ;17019;CF;1,60;No;No;No;No;Nessuna;179,00;89,50;MT;2,20;3145003100;http://www.motomarine.it/catalogo/xsia/3145205100;2021-02-12
3145006100;LIROS MAGIC PRO 6MM RED 100M ;17019;CF;2,50;No;No;No;No;Nessuna;241,00;120,50;MT;2,90;3145003100;http://www.motomarine.it/catalogo/xsia/3145006100;2021-02-12
3145106100;LIROS MAGIC PRO 6MM BLUE 100M ;17019;CF;2,50;No;No;No;No;Nessuna;241,00;120,50;MT;2,90;3145003100;http://www.motomarine.it/catalogo/xsia/3145106100;2021-02-12
3145206100;LIROS MAGIC PRO 6MM BLACK 100M ;17019;CF;2,50;No;No;No;No;Nessuna;241,00;120,50;MT;2,90;3145003100;http://www.motomarine.it/catalogo/xsia/3145206100;2021-02-12
3145008100;LIROS MAGIC PRO 8MM RED 100M ;17019;CF;3,80;No;No;No;No;Nessuna;431,00;215,50;MT;5,10;3145003100;http://www.motomarine.it/catalogo/xsia/3145008100;2021-02-12
3145108100;LIROS MAGIC PRO 8MM BLUE 100M ;17019;CF;3,80;No;No;No;No;Nessuna;431,00;215,50;MT;5,10;3145003100;http://www.motomarine.it/catalogo/xsia/3145108100;2021-02-12
